,batch,grao,temp_amb,umid_amb,peso,timex,temp2,charge_bt_modificado,massa_grao,categoria_massa
110,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",280.6455988,131.7729419,215.23087253,2000,Acima de 2000
111,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",282.6464051,132.31465546,215.23087253,2000,Acima de 2000
112,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",284.6464925,132.88336991,215.23087253,2000,Acima de 2000
113,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",286.64696645,133.4059125,215.23087253,2000,Acima de 2000
114,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",288.64566995,133.90678763,215.23087253,2000,Acima de 2000
115,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",290.6455142,134.49348734,215.23087253,2000,Acima de 2000
116,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",292.6463592,135.05400391,215.23087253,2000,Acima de 2000
117,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",294.64610915,135.61403772,215.23087253,2000,Acima de 2000
118,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",296.64555275,136.17115208,215.23087253,2000,Acima de 2000
119,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",298.6458982,136.67633538,215.23087253,2000,Acima de 2000
120,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",300.6466916,137.20320881,215.23087253,2000,Acima de 2000
121,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",302.6464602,137.71200361,215.23087253,2000,Acima de 2000
122,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",304.6464648,138.23093319,215.23087253,2000,Acima de 2000
123,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",306.64605885,138.78599472,215.23087253,2000,Acima de 2000
124,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",308.6458108,139.33339617,215.23087253,2000,Acima de 2000
125,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",310.6465515,139.85221662,215.23087253,2000,Acima de 2000
126,0,cafe_saulo_especial,30.7,0.61,"[2000.0, 1715.0, 'g']",312.64626325,140.36742921,215.23087253,2000,Acima de 2000
