,cafe_do_mario,vo_mira_conilon,vo_mira_arabica,cafe_saulo_gourmet,cafe_saulo_especial,temp_amb,umid_amb,timex,temp2,charge_bt_modificado,Acima de 2000,Abaixo de 2000
121,0,0,0,0,1,30.7,0.61,244.00088054999998,137.71200361,215.23087253,1,0
122,0,0,0,0,1,30.7,0.61,246.00088515,138.23093319,215.23087253,1,0
123,0,0,0,0,1,30.7,0.61,248.00047919999997,138.78599472,215.23087253,1,0
124,0,0,0,0,1,30.7,0.61,250.00023115,139.33339617,215.23087253,1,0
125,0,0,0,0,1,30.7,0.61,252.00097184999998,139.85221662,215.23087253,1,0
126,0,0,0,0,1,30.7,0.61,254.0006836,140.36742921,215.23087253,1,0
127,0,0,0,0,1,30.7,0.61,256.00023065,140.89245266,215.23087253,1,0
128,0,0,0,0,1,30.7,0.61,258.00085335,141.43932264,215.23087253,1,0
129,0,0,0,0,1,30.7,0.61,260.00097615,141.95036097,215.23087253,1,0
130,0,0,0,0,1,30.7,0.61,262.00047109999997,142.40802896,215.23087253,1,0
131,0,0,0,0,1,30.7,0.61,264.00092795,142.90404538,215.23087253,1,0
132,0,0,0,0,1,30.7,0.61,266.00026865,143.44402777,215.23087253,1,0
133,0,0,0,0,1,30.7,0.61,268.00103635,144.0201308,215.23087253,1,0
134,0,0,0,0,1,30.7,0.61,270.00207835,144.5606767,215.23087253,1,0
135,0,0,0,0,1,30.7,0.61,271.9997406,144.98368368,215.23087253,1,0
136,0,0,0,0,1,30.7,0.61,274.001737,145.44419351,215.23087253,1,0
137,0,0,0,0,1,30.7,0.61,276.00036275,146.01993864,215.23087253,1,0
138,0,0,0,0,1,30.7,0.61,278.00003205,146.54315152,215.23087253,1,0
139,0,0,0,0,1,30.7,0.61,280.00041675,147.05264693,215.23087253,1,0
140,0,0,0,0,1,30.7,0.61,282.00169475,147.55381199,215.23087253,1,0
141,0,0,0,0,1,30.7,0.61,284.00025395,148.04325946,215.23087253,1,0
142,0,0,0,0,1,30.7,0.61,285.9998636,148.59968866,215.23087253,1,0
143,0,0,0,0,1,30.7,0.61,288.00034445,149.14005843,215.23087253,1,0
144,0,0,0,0,1,30.7,0.61,290.000812,149.63565971,215.23087253,1,0
145,0,0,0,0,1,30.7,0.61,292.0001689,150.07395033,215.23087253,1,0
